algorithm,label,seed,training_job,step,raw_reward,loss,pg_loss,kl_loss,ppo_kl,grad_norm,advantage_mean,reinforce_pp_advantage_raw_mean,reinforce_pp_advantage_raw_std,reinforce_pp_advantage_normalized_mean,reinforce_pp_advantage_normalized_std,response_length_mean,truncated_ratio,step_time,response_tokens_per_second,effective_tokens_per_gpu_per_second
reinforce_plus_plus,REINFORCE++,42,937653,19,0.65625,-0.06466702372,-0.06466702372,,0,1.453158736,0.06466702372,0.6195789576,0.4852851629,0,1,938.84375,0.53125,73.67716217,407.7654114,3953.770508
reinforce_plus_plus,REINFORCE++,42,937653,20,0.46875,-0.1039856523,-0.1039856523,,0,1.54799664,0.1039856821,0.4156697094,0.4931616783,0,1,911.53125,0.53125,69.83139038,417.7061157,3944.120117
reinforce_plus_plus,REINFORCE++,42,937653,21,0.59375,-0.09723992646,-0.09723992646,,0,1.505812645,0.09723995626,0.5421336889,0.4956184924,0,1,910.875,0.4375,70.03569031,416.1878052,3944.381836
reinforce_plus_plus,REINFORCE++,42,937653,22,0.46875,-0.08016997576,-0.08016997576,,0,1.623146653,0.08016997576,0.423235625,0.4924866855,0,1,949.53125,0.5625,72.80923462,417.3234253,3971.140869
reinforce_plus_plus,REINFORCE++,42,937653,23,0.875,-0.02517657354,-0.02517657354,,0,1.441864014,0.02517656237,0.8628717661,0.3436301947,0,1,957.78125,0.5,74.12875366,413.4562988,3979.731934
reinforce_plus_plus,REINFORCE++,42,937653,24,0.59375,-0.1103885695,-0.1103885695,,0,1.55970645,0.1103885993,0.5364264846,0.4958887398,0,1,898.96875,0.53125,70.63341522,407.2718201,3898.01416
reinforce_plus_plus,REINFORCE++,42,937653,25,0.34375,-0.07491062582,-0.07491062582,,0,1.727237225,0.07491063327,0.3047121167,0.4606502652,0,1,951.1875,0.6875,73.90099335,411.8753967,3945.819824
reinforce_plus_plus,REINFORCE++,42,937653,26,0.75,-0.1556448936,-0.1556448936,,0,1.494199753,0.1556448936,0.6698833108,0.4657787979,0,1,792.65625,0.28125,62.20989227,407.7325745,3976.372803
reinforce_plus_plus,REINFORCE++,42,937653,27,0.59375,-0.1054032445,-0.1054032445,,0,1.55090642,0.1054032445,0.5381177068,0.4951604009,0,1,907.21875,0.65625,70.03747559,414.5066833,3890.525635
reinforce_plus_plus,REINFORCE++,42,937653,28,0.75,-0.1250420213,-0.1250420213,,0,1.386013269,0.1250420213,0.684618175,0.4587983787,0,1,832.34375,0.375,65.6702652,405.5869446,3878.838135
reinforce_plus_plus,REINFORCE++,42,937653,29,0.75,-0.2571645081,-0.2571645081,,0,1.709376216,0.2571645081,0.6173650026,0.4883528054,0,1,673.03125,0.21875,55.04561234,391.2573242,3759.843018
reinforce_plus_plus,REINFORCE++,42,937653,30,0.375,-0.1589006782,-0.1589006782,,0,1.751210809,0.1589006782,0.2951190174,0.4608889222,0,1,916.5625,0.625,71.05998993,412.7498474,3923.128174
reinforce_plus_plus,REINFORCE++,42,937653,31,0.53125,-0.07636956871,-0.07636956871,,0,1.611462831,0.07636958361,0.4830473363,0.4995048642,0,1,940.3125,0.5625,73.03240204,412.0089111,3942.914551
reinforce_plus_plus,REINFORCE++,42,937653,32,0.875,-0.07242844254,-0.07242844254,,0,1.324420691,0.07242844999,0.8392716646,0.3586449325,0,1,792.34375,0.15625,62.42463303,406.1697998,3866.775146
reinforce_plus_plus,REINFORCE++,42,937653,33,0.59375,-0.08995162696,-0.08995162696,,0,1.563856363,0.08995161206,0.5369611382,0.4948886931,0,1,887.78125,0.40625,67.78674316,419.09375,3944.143311
reinforce_plus_plus,REINFORCE++,42,937653,34,0.25,-0.08528118581,-0.08528118581,,0,1.665131688,0.08528117836,0.207297802,0.4098659754,0,1,978.0625,0.78125,75.06386566,416.9516296,3970.724121
reinforce_plus_plus,REINFORCE++,42,937653,35,0.625,-0.0260153152,-0.0260153152,,0,1.466231585,0.02601534501,0.5991650224,0.4858413637,0,1,951.15625,0.5625,73.25269318,415.506897,3954.322998
reinforce_plus_plus,REINFORCE++,42,937653,36,0.53125,-0.02873592079,-0.02873592079,,0,1.498062849,0.02873590589,0.5010799766,0.5007657409,0,1,920.125,0.5,71.14989471,413.8305359,3921.915771
reinforce_plus_plus,REINFORCE++,42,937653,37,0.4375,-0.2615771592,-0.2615771592,,0,2.046480417,0.2615771294,0.3036240041,0.4639552832,0,1,777.5,0.46875,60.93733978,408.288269,3724.470459
reinforce_plus_plus,REINFORCE++,42,937653,38,0.71875,-0.05463860184,-0.05463860184,,0,1.520384789,0.05463858321,0.6830176115,0.4620344043,0,1,908.96875,0.3125,70.78503418,410.9201965,3971.09082
reinforce_plus_plus,REINFORCE++,42,937653,39,0.4375,-0.01522231847,-0.01522231847,,0,1.503872633,0.0152223371,0.409198612,0.4926983714,0,1,969.84375,0.6875,74.82007599,414.795105,3974.95874
reinforce_plus_plus,REINFORCE++,42,937653,40,0.375,-0.2080043554,-0.2080043554,,0,2.124899864,0.208004415,0.2691873908,0.4513558149,0,1,852.1875,0.5625,66.40898132,410.6372375,3814.100342
reinforce_plus_plus,REINFORCE++,42,937653,41,0.71875,-0.08759240061,-0.08759240061,,0,1.505339861,0.08759239316,0.6594386101,0.4667574465,0,1,895.15625,0.5,70.66825867,405.344635,3899.654053
reinforce_plus_plus,REINFORCE++,42,937653,42,0.8125,-0.1507190764,-0.1507190764,,0,1.428503156,0.1507190466,0.7386003733,0.4344906509,0,1,758.53125,0.1875,59.28940964,409.3985901,3835.274658
reinforce_plus_plus,REINFORCE++,42,937653,43,0.5,-0.08455941081,-0.08455941081,,0,1.592079163,0.08455940336,0.4394698143,0.5007612109,0,1,944.34375,0.5625,73.98866272,408.4274292,3952.936768
